movie,genre,runtime,certificate,rating,stars,description,votes,director
The Movie Critic,Drama            ,,,,,"Add a Plot
",,['Quentin Tarantino']
La grande bellezza,Drama            ,141 min,,7.7,"['Toni Servillo, ', 'Carlo Verdone, ', 'Sabrina Ferilli, ', 'Carlo Buccirosso', '']","Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",$2.85M,['Paolo Sorrentino']
Greenleaf,Drama            ,60 min,,7.5,"['Merle Dandridge, ', 'Kim Hawthorne, ', 'Desiree Ross, ', 'Lamman Rucker', '']","The unscrupulous world of the Greenleaf family and their sprawling Memphis megachurch, dark secrets, and lies.","5,667",
Além do Guarda-Roupa,Drama            ,,,9.1,"['Woojin, ', 'Sharon Blanche, ', 'Soo-jin Kwon, ', 'Gabriel Coppola', '']","Carol, is a 17-year-old teenager, the daughter of a Brazilian dancer and a South Korean, who lives a challenging journey of overcoming, acceptance and self-knowledge after the death of her ...                See full summary »
",83,
The Last Vermeer,Drama            ,118 min,R,6.7,"['Guy Pearce, ', 'Claes Bang, ', 'Vicky Krieps, ', 'Roland Møller', '']","An artist is suspected of selling a valuable painting to the Nazis, but there is more to the story than meets the eye.","4,756",['Dan Friedkin']
Aloft,Drama            ,112 min,R,5.3,"['Jennifer Connelly, ', 'Cillian Murphy, ', 'Mélanie Laurent, ', 'Oona Chaplin', '']",A struggling mother encounters the son she abandoned 20 years earlier.,$0.05M,['Claudia Llosa']
99 Moons,Drama            ,110 min,,5.1,"['Valentina Di Pace, ', 'Dominik Fellmann, ', 'Danny Exnar, ', 'Jessica Huber', '']",Bigna and Frank are two people of different thoughts. When their different worlds collide they become obsessively entwined in a passionate affair.,"1,505",['Jan Gassmann']
Fanchon the Cricket,Drama            ,75 min,,6.5,"['Mary Pickford, ', 'Jack Standing, ', 'Lottie Pickford, ', 'Dick Lee', '']","Young and wild Fanchon lives in a forest with her eccentric grandmother who is suspected by the villagers of being a witch. The unkempt girl suffers from her grandmother's sorceress ...                See full summary »
",270,['James Kirkwood']
Retour à Séoul,Drama            ,119 min,R,7,"['Park Ji-min, ', 'Oh Kwang-rok, ', 'Guka Han, ', 'Kim Sun-young', '']","A twenty-five-year-old French woman returns to Korea, the country she was born in before being adopted by a French couple, for the very first time. She decides to track down her biological parents, but her journey takes a surprising turn.","4,671",['Davy Chou']
Hillbilly Elegy,Drama            ,116 min,18,6.7,"['Amy Adams, ', 'Glenn Close, ', 'Gabriel Basso, ', 'Haley Bennett', '']","An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.","44,690",['Ron Howard']
North of Normal,Drama            ,90 min,,9,"[""James D'Arcy, "", 'Sarah Gadon, ', 'Robert Carlyle, ', 'Benedict Samuel', '']","After being raised in the wilderness, a teenage girl moves to the city hoping for a normal life with her anything but normal mother.",81,['Carly Stone']
Now & Later,Drama            ,99 min,,5.1,"['Keller Wortham, ', 'Shari Solanis, ', 'Luis Fernandez-Gil, ', 'Adrian Quiñonez', '']","Angela an illegal immigrant living in Los Angeles stumbles across Bill, a disgraced banker on the run.Through sex, conversation ranging from politics to philosophy, and other worldly pleasures, Angela introduces Bill to another worldview.",$0.00M,['Philippe Diaz']
The Royal,Drama            ,60 min,,7.5,"['Linda Armstrong, ', 'Robert Daws, ', 'Wendy Craig, ', 'Michelle Hardwick', '']","Set in the 1960s, this British medical drama follows the staff and patients of St Aidan's Royal Free Hospital.","1,116",
There She Goes,Drama            ,30 min,,8.1,"['David Tennant, ', 'Jessica Hynes, ', 'Miley Locke, ', 'Edan Hayhurst', '']",A young girl with a learning disability makes her way through life.,"1,246",
Sex,Drama            ,15 min,,6,"['Asta Kamma August, ', 'Sara Fanta Traore, ', 'Jonathan Bergholdt Jørgensen, ', 'Kitt Maiken Mortensen', '']","At a call center, Cathrine gives advice on sex and love, but is herself at a loss. After a kiss, she wants more from her colleague Selma. While her boyfriend Simon has lack of sexual drive. But what if that's not enough?",596,
Riches,Drama            ,46 min,,7.2,"['Deborah Ayorinde, ', 'Sarah Niles, ', 'CJ Beckford, ', 'Adeyinka Akinrinade', '']","Stephen Richards has built a cosmetics empire, but when he suffers a stroke, his family's secrets and lies rise to the surface and the future of his multi-million-pound company is at stake.","1,695",
Lean on Me,Drama            ,108 min,Not Rated,7.4,"['Morgan Freeman, ', 'Beverly Todd, ', 'Robert Guillaume, ', 'Alan North', '']",The dedicated but tyrannical Joe Clark is appointed the principal of a decaying inner-city school he is determined to improve by any and all means.,$31.91M,['John G. Avildsen']
I Know This Much Is True,Drama            ,378 min,18,8.1,"['Mark Ruffalo, ', 'John Procaccino, ', 'Rob Huebel, ', 'Gabe Fazio', '']","Following the parallel lives of identical twin brothers Dominick and Thomas Birdsey in a story of betrayal, sacrifice, and forgiveness.","21,672",
Mona Lisa Smile,Drama            ,117 min,UA,6.5,"['Julia Roberts, ', 'Kirsten Dunst, ', 'Julia Stiles, ', 'Maggie Gyllenhaal', '']",A free-thinking art professor teaches conservative 1950s Wellesley girls to question their traditional social roles.,$63.86M,['Mike Newell']
The Forgiven,Drama            ,117 min,R,6.1,"['Jessica Chastain, ', 'Ralph Fiennes, ', 'Christopher Abbott, ', 'Abbey Lee', '']","A fatal accident disrupts the lives of Western visitors to a lavish party in the High Atlas Mountains of Morocco, and will ultimately lead to a reckoning in the desert.","7,519",['John Michael McDonagh']
Life Unexpected,Drama            ,60 min,,7.5,"['Shiri Appleby, ', 'Kristoffer Polaha, ', 'Britt Robertson, ', 'Kerr Smith', '']","After 15 years in foster homes, Lux decides to get emancipated, which leads to her meeting her birth parents.","15,149",
The Winter King,Drama            ,,,,"['Eddie Marsan, ', 'Iain De Caestecker, ', 'Nathaniel Martello-White, ', 'Valene Kane', '']","A former warrior now turned monk, tells the story of how Arthur became the lord of war despite the illegitimacy of his throne.",,
Eo,Drama            ,88 min,,6.8,"['Hola, ', 'Tako, ', 'Marietta, ', 'Ettore', '']","Follows a donkey who encounters on his journeys good and bad people, experiences joy and pain, exploring a vision of modern Europe through his eyes.","11,530",['Jerzy Skolimowski']
"Not Tonight, Darling",Drama            ,90 min,,3.8,"['Luan Peters, ', 'Vincent Ball, ', 'Jason Twelvetrees, ', 'James Hayter', '']","A lonely 'Stay-at-Home' Housewife is being watched every night through the bathroom window by a 'Peeping Tom', who is being put up to it by his friend. She eventually finds out and gets her revenge on them.",189,['Anthony Sloman']
Sounds of Freedom,Drama            ,,,8.8,"['Katherine Celio, ', 'Bruce Weech, ', 'Relda E. White-Weagant, ', 'James Weagant', '']","Two veterans suffering with PTSD meet while employed by a newspaper on Whidbey Island, WA. Julia is an Iraqi war vet having difficulty adjusting back to civilian life after several tours in...                See full summary »
",106,
Secrets of the Morning,Drama            ,,,7.5,"['Brec Bassinger, ', 'Khobe Clarke, ', 'Fran Drescher, ', 'Joey McIntyre', '']","Dawn gets off to a good start at a New York City performing-arts school, then risks everything by falling for her gorgeous, charming music teacher; meanwhile, Jimmy works toward his future.",68,['Linda-Lisa Hayter']
25th Hour,Drama            ,135 min,R,7.6,"['Edward Norton, ', 'Barry Pepper, ', 'Philip Seymour Hoffman, ', 'Rosario Dawson', '']","Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",$13.06M,['Spike Lee']
Serial Lover,Drama            ,,,,"['Jonathan Zaccaï, ', 'Odile Vuillemin, ', 'Flore Bonaventura, ', 'Élodie Frégé', '']","A shrewd man who lives many different lives - a pilot, a surgeon, a broker, a journalist; developing a new personality for every identity and deceiving experts in each field. Handsome, ...                See full summary »
",,
Best Interests,Drama            ,,,7.6,"['Sharon Horgan, ', 'Niamh Moriarty, ', 'Michael Sheen, ', 'Alison Oliver', '']",Follows a family driven apart by having to make choices no parent would ever want to make.,583,
The Picasso Summer,Drama            ,90 min,,5.3,"['Albert Finney, ', 'Yvette Mimieux, ', 'Luis Miguel Dominguín, ', 'Theodore Marcuse', '']",A San Francisco couple travels to France in search of Pablo Picasso.,339,
Unorthodox,Drama            ,53 min,18,8,"['Shira Haas, ', 'Amit Rahav, ', 'Jeff Wilbusch, ', 'Alex Reid', '']",Story of a young ultra-Orthodox Jewish woman who flees her arranged marriage and religious community to start a new life abroad.,"87,378",
Still Alice,Drama            ,101 min,PG-13,7.5,"['Julianne Moore, ', 'Alec Baldwin, ', 'Kristen Stewart, ', 'Kate Bosworth', '']",A linguistics professor and her family find their bonds tested when she is diagnosed with Alzheimer's Disease.,$18.75M,
Vanskabte land,Drama            ,143 min,,7.2,"['Elliott Crosset Hove, ', 'Ingvar Sigurdsson, ', 'Vic Carmen Sonne, ', 'Jacob Lohmann', '']","At the end of the 19th century, a young Danish priest is sent to a remote part of Iceland. The deeper he travels into the Icelandic landscape, the more he loses a sense of his own reality, his mission and his sense of duty.","3,726",['Hlynur Pálmason']
Pay It Forward,Drama            ,123 min,UA,7.2,"['Kevin Spacey, ', 'Haley Joel Osment, ', 'Helen Hunt, ', 'Jay Mohr', '']",A young boy attempts to make the world a better place after his teacher gives him that chance.,$33.52M,['Mimi Leder']
The L Word: Generation Q,Drama            ,55 min,18,7.5,"['Jennifer Beals, ', 'Kate Moennig, ', 'Leisha Hailey, ', 'Arienne Mandi', '']","Bette Porter, Shane McCutcheon and Alice Pieszecki intermingle with a younger generation of Los Angelenos experiencing love, heartbreak, sex, setbacks and success.","8,008",
A Streetcar Named Desire,Drama            ,122 min,A,7.9,"['Vivien Leigh, ', 'Marlon Brando, ', 'Kim Hunter, ', 'Karl Malden', '']",Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,$8.00M,['Elia Kazan']
Hamlet,Drama            ,154 min,,7.6,"['Laurence Olivier, ', 'Jean Simmons, ', 'John Laurie, ', 'Esmond Knight', '']","Prince Hamlet struggles over whether or not he should kill his uncle, whom he suspects has murdered his father, the former king.","17,809",['Laurence Olivier']
God's Own Country,Drama            ,104 min,,7.6,"[""Josh O'Connor, "", 'Alec Secareanu, ', 'Gemma Jones, ', 'Ian Hart', '']","Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path.",$0.34M,['Francis Lee']
You Can Live Forever,Drama            ,96 min,,6.9,"[""Anwen O'Driscoll, "", 'June Laporte, ', 'Liane Balaban, ', 'Antoine Yared', '']","When lesbian teen Jaime is sent to live in a Jehovah's Witness community, she falls hard for a devout Witness girl and the two embark on an intense affair with consequences that will reshape the rest of their lives.","1,817",
L'immensità,Drama            ,99 min,,6.4,"['Penélope Cruz, ', 'Vincenzo Amato, ', 'Luana Giuliani, ', 'Patrizio Francioni', '']","The story of love between Clara and her children, set in Rome in the '70s.","1,743",['Emanuele Crialese']
Tayuan,Drama            ,102 min,,4.6,"['Angeli Khang, ', 'Stephanie Raz, ', 'Chester Grecia, ', 'Francine Garcia', '']","Ella meets Rico, a bus conductor, on her way to work. Even after finding out that Rico is married, she still pursues him. As their affair turns to adoration, it becomes harder for them to let go.",134,['Topel Lee']
The House of Eliott,Drama            ,50 min,,8.1,"['Stella Gonet, ', 'Louise Lombard, ', 'Aden Gillett, ', 'Cathy Murphy', '']",Two sisters in 1920s London work to achieve success in the dressmaking business.,"1,526",
Bump,Drama            ,30 min,,7.6,"['Nathalie Morris, ', 'Claudia Karvan, ', 'Carlos Sanson Jr., ', 'Angus Sampson', '']","An unexpected pregnancy complicates the lives of two families. The series centers around Oly, an ambitious and high-achieving teenage girl who has a surprise baby.","2,000",
Dekalog,Drama            ,572 min,,9,"['Artur Barcis, ', 'Olgierd Lukaszewicz, ', 'Olaf Lubaszenko, ', 'Aleksander Bardini', '']","Ten television drama films, each one based on one of the Ten Commandments.",$0.10M,
Jubilee,Drama            ,,A,8.4,"['Prasenjit Chatterjee, ', 'Aditi Rao Hydari, ', 'Wamiqa Gabbi, ', 'Aparshakti Khurana', '']","Thrilling yet poetic tale woven around an ensemble of characters and the gambles they're willing to take, in pursuit of their dreams, passion, ambition and love","3,904",
Little Women,Drama            ,180 min,,7.2,"['Maya Hawke, ', 'Kathryn Newton, ', 'Dylan Baker, ', 'Willa Fitzgerald', '']","Dramatization of Louisa May Alcott's novel about the lives of the four March sisters during the American Civil War as they learn to navigate love, loss, and the trials of growing up.","4,598",
On Golden Pond,Drama            ,109 min,UA,7.6,"['Katharine Hepburn, ', 'Henry Fonda, ', 'Jane Fonda, ', 'Doug McKeon', '']","Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond, he and his wife nevertheless agree to care for Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms.",$119.29M,['Mark Rydell']
Honey Boy,Drama            ,94 min,R,7.2,"['Shia LaBeouf, ', 'Lucas Hedges, ', 'Noah Jupe, ', 'Byron Bowers', '']",A young actor's stormy childhood and early adult years as he struggles to reconcile with his father and deal with his mental health.,"39,601","[""Alma Har'el""]"
8½,Drama            ,138 min,,8,"['Marcello Mastroianni, ', 'Anouk Aimée, ', 'Claudia Cardinale, ', 'Sandra Milo', '']",A harried movie director retreats into his memories and fantasies.,$0.05M,['Federico Fellini']
I May Destroy You,Drama            ,30 min,18,8.1,"['Michaela Coel, ', 'Weruche Opia, ', 'Paapa Essiedu, ', 'Stephen Wight', '']","The question of sexual consent in contemporary life and how, in the new landscape of dating and relationships, we make the distinction between liberation and exploitation.","24,415",
Miss Sloane,Drama            ,132 min,UA,7.5,"['Jessica Chastain, ', 'Mark Strong, ', 'Gugu Mbatha-Raw, ', 'Michael Stuhlbarg', '']","In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.",$3.50M,['John Madden']
The Long Home,Drama            ,96 min,R,,"['Josh Hartnett, ', 'Lio Tipton, ', 'Josh Hutcherson, ', 'James Franco', '']",A young contractor is hired to build a honky-tonk in Tennessee by the man who killed his father.,,['James Franco']
À ma soeur!,Drama            ,95 min,,6.4,"['Anaïs Reboux, ', 'Roxane Mesquida, ', 'Libero De Rienzo, ', 'Arsinée Khanjian', '']",Two sisters confront their sexual attitudes and experiences while on a family holiday.,$0.72M,['Catherine Breillat']
Anatomie de l'enfer,Drama            ,77 min,,4.4,"['Amira Casar, ', 'Rocco Siffredi, ', 'Alexandre Belin, ', 'Manuel Taglang', '']","A woman employs a gay man to spend four nights at her house to watch her when she's ""unwatchable"".","5,910",['Catherine Breillat']
Baby,Drama            ,50 min,18,6.8,"['Benedetta Porcaroli, ', 'Alice Pagani, ', 'Riccardo Mandolini, ', 'Chabeli Sastre', '']","A coming-of-age story that explores the unseen lives of Roman high schoolers. Loosely inspired by a true story, the series follows a group of Parioli teenagers as they defy society in their search for identity and independence","12,397",
Taps,Drama            ,126 min,U,6.7,"['George C. Scott, ', 'Timothy Hutton, ', 'Ronny Cox, ', 'Sean Penn', '']",Military cadets take extreme measures to ensure the future of their academy when its existence is threatened by local condo developers.,$35.86M,['Harold Becker']
L.A. Law,Drama            ,46 min,,7.1,"['Corbin Bernsen, ', 'Jill Eikenberry, ', 'Alan Rachins, ', 'Michael Tucker', '']",The lives and work of the staff of a major Los Angeles law firm.,"5,919",
War Pony,Drama            ,115 min,R,7.1,"['Iona Red Bear, ', 'Ta-Yamni Long Black Cat, ', 'Wilma Colhof, ', 'Jeremy Corbin Cottier', '']",The interlocking stories of two young Oglala Lakota men growing up on the Pine Ridge Reservation.,"1,386",
Yargi,Drama            ,150 min,,8.3,"['Kaan Urgancioglu, ', 'Pinar Deniz, ', 'Hüseyin Avni Danyal, ', 'Zeyno Eracar', '']","A lawyer and a prosecutor, whose paths cross with a murder case, will have to work together to find the murderer, and this will create an irreversible breaking point in their lives.","4,274",
Secret Diary of a Call Girl,Drama            ,30 min,,7.3,"['Billie Piper, ', 'Iddo Goldberg, ', 'Cherie Lunghi, ', 'Ashley Madekwe', '']",Based on the popular diary of the anonymous sex worker known only as Belle de Jour.,"13,974",
Le bleu du caftan,Drama            ,122 min,,7.6,"['Lubna Azabal, ', 'Saleh Bakri, ', 'Ayoub Missioui, ', 'Mounia Lamkimel', '']",A middle-aged tailor and his wife find their relationship turned upside down by the arrival of a handsome new apprentice.,"3,095",['Maryam Touzani']
Savage Grace,Drama            ,97 min,,5.7,"['Julianne Moore, ', 'Eddie Redmayne, ', 'Stephen Dillane, ', 'Anne Reid', '']","A dramatization of the shocking Barbara Daly Baekeland murder case, which happened in a posh London flat on Friday 17 November 1972. The bloody crime caused a stir on both sides of the Atlantic and remains one of the most memorable American Tragedies...",$0.43M,['Tom Kalin']
Nowhere Special,Drama            ,96 min,,7.4,"['James Norton, ', 'Daniel Lamont, ', 'Carol Moore, ', 'Valene Kane', '']","When John, a thirty-five-year-old window cleaner, is given only a few months to live, he attempts to find a new, perfect family for his three-year-old son, determined to shield him from the terrible reality of the situation.","5,512",['Uberto Pasolini']
Code Black,Drama            ,42 min,,8,"['Marcia Gay Harden, ', 'Harry Ford, ', 'Benjamin Hollingsworth, ', 'Luis Guzmán', '']",The staff of the L.A. County Hospital emergency room treats patients under difficult circumstances.,"12,767",
Große Freiheit,Drama            ,116 min,,7.5,"['Franz Rogowski, ', 'Georg Friedrich, ', 'Anton von Lucke, ', 'Thomas Prenn', '']","In post-war Germany, liberation by the Allies does not mean freedom for everyone. Hans is repeatedly imprisoned under Paragraph 175, which criminalizes homosexuality. Over the decades, he develops an unlikely bond with his cellmate Viktor.","6,150",['Sebastian Meise']
È stata la mano di Dio,Drama            ,130 min,18,7.3,"['Filippo Scotti, ', 'Toni Servillo, ', 'Teresa Saponangelo, ', 'Marlon Joubert', '']","In 1980s Naples, young Fabietto pursues his love for football as family tragedy strikes, shaping his uncertain but promising future as a filmmaker.","46,690",['Paolo Sorrentino']
Five Easy Pieces,Drama            ,98 min,U,7.4,"['Jack Nicholson, ', 'Karen Black, ', 'Billy Green Bush, ', 'Fannie Flagg', '']","A dropout from upper-class America picks up work along the way on oil rigs when his life isn't spent in a squalid succession of bars, motels, and other points of interest.",$19.40M,['Bob Rafelson']
Vernost,Drama            ,82 min,,5.7,"['Evgeniya Gromova, ', 'Aleksandr Pal, ', 'Marina Vasileva, ', 'Aleksey Agranovich', '']","Midwife Lena, a loving wife, is driven towards a string of infidelities after her husband continues to neglect her.","2,558",['Nigina Sayfullaeva']
Gravesend,Drama            ,,,6.1,"['William DeMeo, ', ""Joseph D'Onofrio, "", 'Christopher Mormando, ', 'Sofia Milos', '']","A 1980's series of events revolving around Benny Zerletta (William DeMeo), a Brooklyn based Italian-American, soldier in the Colezzo crime family. Benny depicts the difficulties that he ...                See full summary »
",256,
All About Eve,Drama            ,138 min,,8.2,"['Bette Davis, ', 'Anne Baxter, ', 'George Sanders, ', 'Celeste Holm', '']",A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,$0.01M,['Joseph L. Mankiewicz']
Aristotle and Dante Discover the Secrets of the Universe,Drama            ,96 min,PG-13,7.4,"['Luna Blaise, ', 'Eva Longoria, ', 'Kevin Alejandro, ', 'Eugenio Derbez', '']","Based on the book by Benjamin Alire Sáenz, set in 1987 El Paso, it's the tale of two teenage Mexican-American loners as they explore their friendship and the difficult road to self-discovery.",184,['Aitch Alberto']
Tierra de esperanza,Drama            ,60 min,,9,"['Carolina Miranda, ', 'Andrés Palacios, ', 'Luis Roberto Guzmán, ', 'Mariana Seoane', '']","Add a Plot
",81,
Maryland,Drama            ,47 min,,6.5,"['Suranne Jones, ', 'Eve Best, ', 'Stockard Channing, ', 'Hugh Quarshie', '']","Follows Becca and Rosaline, two sisters that were distanced, but that through tragic events, learn to love and respect each other again.",953,
Breaking the Waves,Drama            ,159 min,R,7.8,"['Emily Watson, ', 'Stellan Skarsgård, ', 'Katrin Cartlidge, ', 'Jean-Marc Barr', '']","Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.",$4.04M,['Lars von Trier']
Mildred Pierce,Drama            ,336 min,,7.6,"['Kate Winslet, ', 'Guy Pearce, ', 'Evan Rachel Wood, ', ""Brían F. O'Byrne"", '']","Divorced single mom Mildred Pierce decides to open a restaurant business, which tears at the already-strained relationship with her ambitious elder daughter, Veda.","22,934",
The Kashmir Files,Drama            ,170 min,A,8.7,"['Mithun Chakraborty, ', 'Anupam Kher, ', 'Darshan Kumaar, ', 'Pallavi Joshi', '']","A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.","5,70,600",['Vivek Agnihotri']
"My Sailor, My Love",Drama            ,103 min,,7.1,"['James Cosmo, ', 'Brid Brennan, ', 'Catherine Walker, ', 'Nora-Jane Noone', '']",A retired sea captain and his daughter must reassess their strained relationship after he begins a new romance with a widowed housekeeper.,442,['Klaus Härö']
Banshee Origins,Drama            ,,,8.6,"['Frankie Faison, ', 'Antony Starr, ', 'Ivana Milicevic, ', 'Ulrich Thomsen', '']","Fresh out of prison after 15 years, a master thief assumes the identity of a dead sheriff in Banshee, PA. After tracking down the woman he loves they try to avoid detection from her father; a Ukrainian mobster looking to kill them for double crossing him.","5,401",
Boze Cialo,Drama            ,115 min,,7.7,"['Bartosz Bielenia, ', 'Aleksandra Konieczna, ', 'Eliza Rycembel, ', 'Tomasz Zietek', '']","Daniel experiences a spiritual transformation in a detention center. Although his criminal record prevents him from applying to the seminary, he has no intention of giving up his dream and decides to minister a small-town parish.","20,542",['Jan Komasa']
Histoire d'O,Drama            ,105 min,A,5.3,"['Corinne Cléry, ', 'Udo Kier, ', 'Anthony Steel, ', 'Jean Gaven', '']","Photographer O's lover takes her to a Château, where she is, like other women there, naked, humiliated by whipping, sexual abuse by men etc. When O leaves, her lover gives her to his much older step-brother.","6,691",['Just Jaeckin']
Lost Girls and Love Hotels,Drama            ,97 min,R,4.7,"['Alexandra Daddario, ', 'Takehiro Hira, ', 'Carice van Houten, ', 'Andrew Rothney', '']","Haunted by her past, an English teacher explores love and dust with a dashing yakuza gangster in Tokyo.","4,968",['William Olsson']
Magazine Dreams,Drama            ,124 min,,7,"['Jonathan Majors, ', 'Harrison Page, ', 'Harriet Sansom Harris, ', 'Haley Bennett', '']",A Black amateur bodybuilder struggles to find human connection in this exploration of celebrity and violence.,279,['Elijah Bynum']
The Absence of Eden,Drama            ,,,7.7,"['Zoe Saldana, ', 'Adria Arjona, ', 'Garrett Hedlund, ', 'Tom Waits', '']",An ICE Agent struggling with the moral dilemmas of border security and an undocumented woman fighting to escape a ruthless cartel cross paths and work together to save the life of an innocent girl.,21,['Marco Perego']
Hamlet,Drama            ,242 min,PG-13,7.7,"['Kenneth Branagh, ', 'Julie Christie, ', 'Derek Jacobi, ', 'Kate Winslet', '']","Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",$4.41M,['Kenneth Branagh']
Scarecrow,Drama            ,112 min,A,7.2,"['Gene Hackman, ', 'Al Pacino, ', 'Dorothy Tristan, ', 'Ann Wedgeworth', '']","An ex-con drifter with a penchant for brawling is amused by a homeless ex-sailor, so they partner up as they head east together.",$9.00M,['Jerry Schatzberg']
L'Événement,Drama            ,100 min,R,7.4,"['Anamaria Vartolomei, ', 'Kacey Mottet Klein, ', 'Luàna Bajrami, ', 'Louise Orry-Diquéro', '']","An adaptation of Annie Ernaux's novel of the same name, looking back on her experience with abortion when it was still illegal in France in the 1960s.","10,194",['Audrey Diwan']
Festen,Drama            ,105 min,R,8.1,"['Ulrich Thomsen, ', 'Henning Moritzen, ', 'Thomas Bo Larsen, ', 'Paprika Steen', '']","At Helge's 60th birthday party, some unpleasant family truths are revealed.",$1.65M,['Thomas Vinterberg']
Four Good Days,Drama            ,100 min,R,6.5,"['Mila Kunis, ', 'Carla Gallo, ', 'Glenn Close, ', 'Stephen Root', '']",A mother helps her daughter work through four crucial days of recovery from substance abuse.,"10,528",['Rodrigo García']
One Night in Miami...,Drama            ,114 min,18,7.1,"['Kingsley Ben-Adir, ', 'Eli Goree, ', 'Aldis Hodge, ', 'Leslie Odom Jr.', '']","A fictional account of one incredible night where icons Muhammad Ali, Malcolm X, Sam Cooke, and Jim Brown gathered discussing their roles in the Civil Rights Movement and cultural upheaval of the 60s.","33,386",['Regina King']
Passions,Drama            ,60 min,,5.9,"['Lindsay Hartley, ', 'McKenzie Westmore, ', 'Galen Gering, ', 'Juliet Mills', '']","In the world of power and money, the wealthy and powerful Crane family rule the town of Harmony from their mansion on Raven Hill.","5,027",
The Royals,Drama            ,42 min,UA 13+,7.4,"['Joan Collins, ', 'Alexandra Park, ', 'Elizabeth Hurley, ', 'William Moseley', '']",Drama about a fictional British royal family in modern-day London.,"13,744",
Alaska Daily,Drama            ,47 min,,7.6,"['Hilary Swank, ', 'Jeff Perry, ', 'Grace Dove, ', 'Meredith Holzman', '']",A journalist seeks a fresh start in Alaska working for a newspaper in Anchorage.,"8,710",
Dear Edward,Drama            ,50 min,A,7.2,"['Taylor Schilling, ', ""Colin O'Brien, "", 'Anna Uzele, ', 'Idris Debrand', '']","A 12-year-old boy becomes the lone survivor of a plane crash. As he and others affected by the tragedy try to make sense of what happened, unexpected friendships, romances, and communities are formed.","3,136",
Olive Kitteridge,Drama            ,239 min,,8.3,"['Frances McDormand, ', 'Richard Jenkins, ', 'Ann Dowd, ', 'Ken Cheeseman', '']",A middle-school math teacher Olive and her marriage with Henry which spans 25 years.,"24,534",
Exotica,Drama            ,103 min,A,7,"['Bruce Greenwood, ', 'Elias Koteas, ', 'Don McKellar, ', 'Mia Kirshner', '']","A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away.",$4.18M,['Atom Egoyan']
Tales of the City,Drama            ,60 min,18,7.4,"['Laura Linney, ', 'Elliot Page, ', 'Paul Gross, ', 'Murray Bartlett', '']","A middle-aged Mary Ann returns to San Francisco and reunites with the eccentric friends she left behind. ""Tales of the City"" focuses primarily on the people who live in a boardinghouse turned apartment complex owned by Anna Madrigal at 28 Barbary Lane, all of whom quickly become part of what Maupin coined a ""logical family"". It's no longer a secret that Mrs. Madrigal is transgender. Instead, she ...                See full summary »
","8,670",
In Treatment,Drama            ,30 min,UA 16+,8.3,"['Gabriel Byrne, ', 'Uzo Aduba, ', 'Dianne Wiest, ', 'Michelle Forbes', '']","A psychotherapist questions his abilities and gets help by reuniting with his old therapist, whom he has not seen for ten years.","17,861",
Kadin,Drama            ,120 min,,6.7,"['Özge Özpirinçci, ', 'Seray Kaya, ', 'Kubra Suzgun, ', 'Ali Semi Sefil', '']","Bahar, a loving mother who struggles to maintain a life with her two children, must deal with life's challenges and uncover the hidden truths of the past.","1,496",
All Rise,Drama            ,44 min,,7,"['Simone Missick, ', 'Wilson Bethel, ', 'Jessica Camacho, ', 'J. Alex Brinson', '']","A look at the personal and professional lives of the judges, lawyers, clerks, bailiffs and cops who work at an L.A. County courthouse.","5,512",
East of Eden,Drama            ,118 min,U,7.8,"['James Dean, ', 'Raymond Massey, ', 'Julie Harris, ', 'Burl Ives', '']","Two brothers in 1910s California struggle to maintain their strict, Bible-toting father's favor as an old secret about their long-absent mother comes to light.","47,493",['Elia Kazan']
The Inspection,Drama            ,95 min,A,6.7,"['Jeremy Pope, ', 'Gabrielle Union, ', 'Bokeem Woodbine, ', 'Raúl Castillo', '']","A young, gay Black man, rejected by his mother and with few options for his future, decides to join the Marines, doing whatever it takes to succeed in a system that would cast him aside.","3,651",['Elegance Bratton']
